City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Kapaa,US,84.2,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
7,Auki,SB,79.34,broken clouds,-8.77,160.7,Auki Motel
8,Ribeira Grande,PT,75.2,scattered clouds,38.52,-28.7,Quinta da Meia Eira
14,Albany,US,79.0,broken clouds,42.6,-73.97,
16,Mahibadhoo,MV,82.29,light rain,3.78,72.97,Omadhoo Inn
21,Ipixuna,BR,78.8,scattered clouds,-1.76,-48.8,Casa da Oscarina
23,Avarua,CK,77.0,clear sky,-21.21,-159.78,Paradise Inn
26,Cayenne,GF,78.8,few clouds,4.93,-52.33,Hôtel Le Dronmi
30,Trairi,BR,77.52,overcast clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
31,Nuevo Progreso,MX,90.0,clear sky,23.17,-97.95,Balneario Rio el Paraiso
32,Vaini,TO,78.8,few clouds,-21.2,-175.2,Keleti Beach Resort
34,Atuona,PF,78.44,clear sky,-9.8,-139.03,Villa Enata
39,Kieta,PG,77.49,light rain,-6.22,155.63,
41,Sioux Lookout,CA,77.0,overcast clouds,50.1,-91.92,Knobby's Fly-In Camps
44,Tuburan,PH,75.2,few clouds,6.64,122.27,Bohe Puno
47,Giubiasco,CH,75.2,clear sky,46.17,9.01,Albergo-Ristorante Croce Federale
48,Kahului,US,89.6,few clouds,20.89,-156.47,Maui Seaside Hotel
49,Aswan,EG,87.49,clear sky,24.09,32.91,Nuba Nile
52,Nouadhibou,MR,77.0,clear sky,20.93,-17.03,El Medina
54,Rafraf,TN,78.8,few clouds,37.19,10.18,Les Jardins de la Mer Ghar el Melh
55,Matara,LK,77.41,scattered clouds,5.95,80.54,Amaloh Boutique Resort
62,Ligayan,PH,83.82,few clouds,4.65,119.47,
68,Shingu,JP,77.61,clear sky,33.73,135.98,Shingu UI Hotel
82,Mayo,US,90.0,clear sky,38.89,-76.51,Resorts Resource Group International
83,Ranong,TH,78.82,overcast clouds,9.97,98.63,Tinidee Hotel@Ranong
85,Pedernales,DO,75.2,thunderstorm with rain,18.04,-71.74,Hotel Costa Marina
89,Tual,ID,79.43,scattered clouds,-5.67,132.75,Grand Vilia Hotel
91,Najran,SA,89.6,overcast clouds,17.49,44.13,محمد هادي ال فطيح
