City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cherskiy,RU,68.75,161.3,38.21,93,100,11.56,light rain
1,Busselton,AU,-33.65,115.33,42.01,82,0,3.83,clear sky
2,Bredasdorp,ZA,-34.53,20.04,57.2,87,100,2.24,overcast clouds
3,Lebu,CL,-37.62,-73.65,51.13,91,100,18.7,light rain
4,Kapaa,US,22.08,-159.32,84.2,70,20,10.29,few clouds
5,Carnarvon,AU,-24.87,113.63,60.8,82,0,10.29,clear sky
6,Qaanaaq,GL,77.48,-69.36,36.79,87,100,5.12,overcast clouds
7,Auki,SB,-8.77,160.7,79.34,83,65,3.62,broken clouds
8,Ribeira Grande,PT,38.52,-28.7,75.2,88,40,8.05,scattered clouds
9,Lavrentiya,RU,65.58,-171.0,47.21,93,100,4.99,overcast clouds
10,Novobirilyussy,RU,56.95,90.67,52.21,97,95,3.02,overcast clouds
11,Rikitea,PF,-23.12,-134.97,70.21,84,69,21.14,broken clouds
12,Port Augusta,AU,-32.5,137.77,41.0,93,21,4.7,few clouds
13,Ushuaia,AR,-54.8,-68.3,35.6,74,20,9.17,few clouds
14,Albany,US,42.6,-73.97,79.0,69,75,6.93,broken clouds
15,Chokurdakh,RU,70.63,147.92,34.68,88,100,10.65,overcast clouds
16,Mahibadhoo,MV,3.78,72.97,82.29,69,73,2.06,light rain
17,Berlevag,NO,70.86,29.09,59.0,87,40,5.82,scattered clouds
18,Nueve De Julio,AR,-35.44,-60.88,66.0,33,0,5.99,clear sky
19,Mahebourg,MU,-20.41,57.7,69.8,77,75,13.87,shower rain
20,Punta Arenas,CL,-53.15,-70.92,35.6,74,75,26.4,broken clouds
21,Ipixuna,BR,-1.76,-48.8,78.8,83,40,8.05,scattered clouds
22,Kodiak,US,57.79,-152.41,60.8,77,90,3.36,overcast clouds
23,Avarua,CK,-21.21,-159.78,77.0,69,2,12.75,clear sky
24,Arraial Do Cabo,BR,-22.97,-42.03,68.0,68,75,3.36,broken clouds
25,Soe,ID,-9.86,124.28,61.18,68,0,5.39,clear sky
26,Cayenne,GF,4.93,-52.33,78.8,88,13,11.79,few clouds
27,Mar Del Plata,AR,-38.0,-57.56,51.8,76,0,17.22,clear sky
28,Ancud,CL,-41.87,-73.82,51.01,93,90,9.17,overcast clouds
29,Lensk,RU,60.73,114.93,42.71,66,0,5.39,clear sky
30,Trairi,BR,-3.28,-39.27,77.52,75,86,11.79,overcast clouds
31,Nuevo Progreso,MX,23.17,-97.95,90.0,55,0,4.0,clear sky
32,Vaini,TO,-21.2,-175.2,78.8,88,20,10.29,few clouds
33,Castro,BR,-24.79,-50.01,51.01,85,20,8.08,few clouds
34,Atuona,PF,-9.8,-139.03,78.44,77,1,15.75,clear sky
35,Fornosovo,RU,59.57,30.55,63.0,82,20,2.24,few clouds
36,Hamadan,IR,34.8,48.51,62.6,47,0,2.24,clear sky
37,Swan Hill,AU,-35.34,143.55,37.6,89,0,6.33,clear sky
38,Atbasar,KZ,51.8,68.33,53.29,86,0,5.66,clear sky
39,Kieta,PG,-6.22,155.63,77.49,81,100,5.17,light rain
